Ativo Original,Codigo Ativo,Taxa,Data Vencimento
SBSP3,,,
BOVA11,,,
ABEV3,,,
AZZA3,,,
BHIA3,,,
RAIL3,,,
CSAN3,,,
WEGE3,,,
SANB11,,,
KLBN11,,,
HFOF11,,,
KNIP11,,,
ITUB4,,,
TGAR11,,,
BPAC11,,,
PRIO3,,,
"CRA FLU CRA021002N3 - CRA ZILOR - OUT/2026 - IPC-A +10,67% - 15/10/2026",CRA021002N3,"IPCA + 6,9849%",15/10/2026
"CRA FLU CRA0190066O - CRA ADECOAGRO - NOV/2027 - IPC-A +6,85% - 17/11/2027",CRA0190066O,N/A,N/A
"CRA FLU CRA020003PY - CRA VAMOS - NOV/2030 - IPC-A +10,13% - 18/11/2030",CRA020003PY,"IPCA + 5,7315%",18/11/2030
"CRA FLU CRA022007EP - CRA KLABIN - MAI/2034 - IPC-A +7,48% - 15/05/2034",CRA022007EP,"IPCA + 6,7694%",15/05/2034
"CRA FLU CRA022008N7 - CRA JBS - SET/2037 - IPC-A +8,90% - 15/09/2037",CRA022008N7,"IPCA + 6,6614%",15/09/2037
"CRA FLU CRA020003K0 - CRA SÃO SALVADOR - NOV/2026 - IPC-A +7,50% - 16/11/2026",CRA020003K0,"IPCA + 4,4462%",16/11/2026
"CRA FLU CRA02300JG2 - CRA JBS - SET/2028 - CDI +0,49% - 15/09/2028",CRA02300JG2,"DI + 0,8000%",15/09/2028
"DEB FLU U RUMOA6 - DEB RUMO - JUN/2031 - IPC-A +7,05% - 15/06/2031",RUMOA6,"IPCA + 4,4998%",15/06/2031
"DEB FLU U SMTO14 - DEB SAO MARTINHO - JAN/2032 - IPC-A +7,54% - 15/01/2032",SMTO14,"IPCA + 5,9741%",15/01/2032
"DEB FLU U ENAT11 - DEB ENAUTA - DEZ/2029 - IPC-A +7,84% - 15/12/2029",ENAT11,"IPCA + 9,8297%",15/12/2029
"DEB FLU U LORTA7 - DEB LOCALIZA - MAR/2031 - IPC-A +7,40% - 15/03/2031",LORTA7,"IPCA + 5,4702%",15/03/2031
"DEB PRE ENAT32 - DEB ENAUTA - SET/2029 - 0,1351 - 17/09/2029",ENAT32,"Pré-Fixado 13,9662%",17/09/2029
"DEB PRE ENAT32 - DEB ENAUTA - SET/2029 - 0,123 - 17/09/2029",ENAT32,"Pré-Fixado 13,9662%",17/09/2029
"CRA FLU CRA0210012Z - CRA GRUPO JOSÉ ALVES - MAI/2028 - IPC-A +6,95% - 15/05/2028",CRA0210012Z,"IPCA + 4,9221%",15/05/2028
"CRA FLU CRA0210012Z - CRA GRUPO JOSÉ ALVES - MAI/2028 - IPC-A +9,91% - 15/05/2028",CRA0210012Z,"IPCA + 4,9221%",15/05/2028
TREND INVESTBACK FIC FIRF SIMPLES RL,,,
"DEB FLU U LCAMD1 - DEB LOCALIZA - SET/2031 - IPC-A +9,14% - 15/09/2031",LCAMD1,"IPCA + 6,5119%",15/09/2031
"DEB FLU U CBRDA8 - DEB GPA - MAI/2026 - CDI +4,70% - 10/05/2026",CBRDA8,"DI + 1,7000%",10/05/2026
"CRI 23J1255114 - CRI CASHME - OUT/2030 - IPC-A +7,45% - 15/10/2030",23J1255114,N/A,N/A
"CRA FLU CRA0210059T - CRA BRASKEM - DEZ/2028 - IPC-A +42,65% - 15/12/2028",CRA0210059T,"IPCA + 5,5386%",15/12/2028
"CRA FLU CRA021001PQ - CRA MARFRIG - JUL/2028 - IPC-A +8,17% - 15/07/2028",CRA021001PQ,"IPCA + 4,5000%",15/07/2028
"CRI 22B0004808 - CRI CSN CIMENTOS - FEV/2032 - IPC-A +6,39% - 16/02/2032",22B0004808,"IPCA + 6,3893%",16/02/2032
"CRI 22B0004808 - CRI CSN CIMENTOS - FEV/2032 - IPC-A +11,39% - 16/02/2032",22B0004808,"IPCA + 6,3893%",16/02/2032
44434888000146 - KAD IMA-B XP SEG PREV FIC FIM CP - VGBL,,,
"DEB FLU U MOVI18 - DEB MOVIDA - JUN/2029 - IPC-A +12,51% - 15/06/2029",MOVI18,"IPCA + 8,0525%",15/06/2029
"CRA FLU CRA0240066H - CRA SLC AGRICOLA - JUL/2029 - CDI +0,50% - 16/07/2029",CRA0240066H,N/A,N/A
"CRI 22L1465644 - CRI ANIMA - DEZ/2027 - CDI +1,60% - 15/12/2027",22L1465644,"DI + 1,6500%",15/12/2027
BRAV3,,,
AQUA CAPITAL PE AGRO FIP MULTI - CLASSE A,,,
"CDCA 24G02736838 - CDCA BTG - JUL/2029 - IPC-A +6,21% - 16/07/2029",,,
"CRA FLU CRA0210013B - CRA BRF - MAI/2031 - IPC-A +8,58% - 15/05/2031",CRA0210013B,"IPCA + 4,7843%",15/05/2031
"CRA FLU CRA02300CYS - CRA BTG - JUL/2033 - IPC-A +7,26% - 15/07/2033",CRA02300CYS,"IPCA + 6,4338%",15/07/2033
"DEB FLU U MVLV16 - DEB MOVIDA - JUN/2028 - IPC-A +6,40% - 15/06/2028",MVLV16,"IPCA + 7,1702%",15/06/2028
ASAI3,,,
"LCD FLU 25C04008337 - LCD BNDES - MAR/2030 - 95,00% CDI - 15/03/2030",,,
"CRI 23J1142031 - CRI YDUQS - OUT/2028 - CDI +0,90% - 16/10/2028",23J1142031,"DI + 0,9000%",13/10/2028
TRUXT LONG BIAS ADVISORY FIC FIM,,,
"CRA FLU CRA022008N6 - CRA JBS - SET/2032 - IPC-A +8,47% - 15/09/2032",CRA022008N6,"IPCA + 6,3919%",15/09/2032
OBY ÁGIL FIRF RL,,,
"CRI 22E1095384 - CRI MRV - SET/2030 - IPC-A +9,33% - 16/09/2030",22E1095384,"IPCA + 6,4802%",16/09/2030
"LCA 25F07417671 - LCA BNDES - JUN/2028 - 92,90% CDI - 30/06/2028",,,
"LCA 25F07417671 - LCA BNDES - JUN/2028 - 81,50% CDI - 30/06/2028",,,
"LCA 25F07417671 - LCA BNDES - JUN/2028 - 86,00% CDI - 30/06/2028",,,
REAL INVESTOR FIC DE FIF EM AÇÕES RL,,,
"DEB FLU U CMIN21 - DEB CSN MINERACAO - JUL/2036 - IPC-A +11,36% - 15/07/2036",CMIN21,"IPCA + 5,0210%",15/07/2036
"DEB FLU U ENEV18 - DEB ENEVA - JUL/2032 - IPC-A +6,90% - 15/07/2032",ENEV18,"IPCA + 6,5254%",15/07/2032
CPLE3,,,
35955960000190 - IP PREV XP SEG IQ FIC FIM - VGBL,,,
"CRA PRE DU CRA02300G7D - CRA MARFRIG - AGO/2027 - 0,1321 - 16/08/2027",CRA02300G7D,"Pré-Fixado 11,0000%",16/08/2027
"DEB FLU U VAMO33 - DEB VAMOS - JUN/2031 - IPC-A +6,75% - 15/06/2031",VAMO33,"IPCA + 6,3605%",15/06/2031
"DEB FLU U VAMO33 - DEB VAMOS - JUN/2031 - IPC-A +12,95% - 15/06/2031",VAMO33,"IPCA + 6,3605%",15/06/2031
949714 - XP PICTET MAGO - ALTA ALAVANCADA - 5Y - 30.03.2022 - 01/04/2027,,,
949717 - XP BOLSA AMERICANA - TAXA FIXA OU ALTA ILIMITADA - 5Y - 30.03.2022 - 01/04/2027,,,
949706 - XP MAP TREND - BIDIRECIONAL ALAVANCADO - 5Y - 29.03.2022 - 31/03/2027,,,
CAPITÂNIA INFRA RENDA 90 INCENTIVADO INFRAESTRUTURA RF CP,,,
XP CDI 93 NOVEMBRO 2026 FII RL,,,
ABSOLUTE HIDRA CDI PLUS ADVISORY FIC FI INFRA RF CP RL,,,
CYHF11 - CYRELA HEDGE FUND,,,
XP DEBÊNTURES INCENTIVADAS IMAB CP INCENTIVADO INFRA RF RL,,,
OBY CRÉDITO 30 FIM CP,,,
AZQI11 - AZ QUEST INFRA YIELD FIP IE,,,
JHSF CAPITAL MALLS FEEDER FII RL,,,
XP DEBÊNTURES INCENTIVADAS CDI CP FIF INCENTIVADO DE INVESTIMENTO EM INFRA RF RL,,,
44434898000181 - OBY PREVIDÊNCIA PRÊMIO FIM CP - VGBL,,,
"LCA 25L02684266 - LCA BNDES - DEZ/2026 - 85,00% CDI - 15/12/2026",,,
"CRA FLU CRA021000M9 - CRA CERRADINHO - MAR/2026 - IPC-A +4,55% - 16/03/2026",CRA021000M9,"IPCA + 5,0097%",16/03/2026
"CRI 24E2535186 - CRI ALMARIAS - JUN/2029 - IPC-A +7,50% - 12/06/2029",24E2535186,N/A,N/A
"LCI 24L02578514 - LCI CEF - DEZ/2026 - 92,00% CDI - 18/12/2026",,,
"LCA 25L02684263 - LCA BNDES - DEZ/2026 - 85,00% CDI - 15/12/2026",,,
"LCA 25J00566720 - LCA BNDES - SET/2028 - 81,50% CDI - 15/09/2028",,,
"DEB FLU U HARG11 - DEB HOLDING DO ARAGUAIA - OUT/2036 - IPC-A +6,34% - 15/10/2036",HARG11,"IPCA + 6,6647%",15/10/2036
"CRA FLU CRA021000XD - CRA OLFAR - MAI/2026 - IPC-A +5,00% - 15/05/2026",CRA021000XD,"IPCA + 5,1314%",15/05/2026
"LF PRE LF0021005FU - LF DAYCOVAL - JAN/2031 - 0,109 - 02/01/2031",,,
"LCA 25I03403052 - LCA BNDES - SET/2028 - 85,00% CDI - 15/09/2028",,,
"LCA 25L02684265 - LCA BNDES - DEZ/2026 - 85,00% CDI - 15/12/2026",,,
"LCA 25I03403052 - LCA BNDES - SET/2028 - 81,50% CDI - 15/09/2028",,,
"NTN-B 760199 - AGO/2050 - TESOURO NACIONAL - AGO/2050 - IPC-A +5,29% - 15/08/2050",,,
"NTN-B 760199 - AGO/2060 - TESOURO NACIONAL - AGO/2060 - IPC-A +5,39% - 15/08/2060",,,
"LF PRE LF002100D6T - LF DAYCOVAL - AGO/2026 - 0,111 - 26/08/2026",,,
"DEB FLU U SMTO24 - DEB SAO MARTINHO - JAN/2037 - IPC-A +6,11% - 15/01/2037",SMTO24,"IPCA + 6,1076%",15/01/2037
"LF PRE LF002100GIG - LF DAYCOVAL - OUT/2026 - 0,1225 - 07/10/2026",,,
"LCA 25L02684264 - LCA BNDES - DEZ/2026 - 85,00% CDI - 15/12/2026",,,
"LCI 25C04054295 - LCI CEF - MAR/2027 - 95,50% CDI - 22/03/2027",,,
"LCI 25C04054259 - LCI CEF - MAR/2027 - 94,50% CDI - 22/03/2027",,,
RZDS11 - RIZA DOMUS FII,,,
VGPR11 - VALORA IMOBILIÁRIO MULTIESTRATÉGIA PREMIUM,,,
IMOV11 - NAVI HEDGE FUND,,,
AUGM11 - AUGME CRÉDITO ESTRUTURADO FII RL,,,
XPHB11 - XP HABITAT FII,,,
SPARTA DEBÊNTURES INCENTIVADAS 45 FIC DE FIF INFRA RF RL,,,
TREND INVESTBACK VI - LEGACY,,,
AZQA11 - AZ QUEST LUNA - FIAGRO,,,
PAAG11 - PÁTRIA CRÉDITO AGRÍCOLA FIAGRO,,,
"FND FLU 4733522M02 - FND FACTA INSS CB FUNDO DE IN - MAR/2030 - CDI +5,75% - 15/03/2030",,,
"LCA 25L02684264 - LCA BNDES - DEZ/2026 - 81,50% CDI - 15/12/2026",,,
4997650045 - XP INNOVATIVE LEADERS - IPCA + ALTA ALAVANCADA - 5Y - 15.06.2022 - 17/06/2027,,,
"949341 - XP MAP TREND - BIDIRECIONAL ALAVANCADO - 5,5 ANOS - 29.09.2021 - 31/03/2027",,,
"492572 - CS SAÚDE DIGITAL - TAXA FIXA + ALTA - 5,5 ANOS - 14.06.2021 - 21/12/2026",,,
"CRI 20L0000001 - CRI TRUE SECURITIZADORA S.A. - DEZ/2026 - CDI +0,82% - 28/12/2026",20L0000001,N/A,N/A
"NTN-B 760199 - AGO/2028 - TESOURO NACIONAL - AGO/2028 - IPC-A +7,74% - 15/08/2028",,,
DAHLIA TOTAL RETURN ADVISORY FIC FIF MULTI RL,,,
"DEB FLU U ECER12 - DEB ECOVIAS DO CERRADO - SET/2027 - IPC-A +7,44% - 15/09/2027",ECER12,"IPCA + 6,3500%",15/09/2027
ENCORE LB ADVISORY FIC FIM,,,
SAFRA DI MASTER FIRF REFERENCIADO DI LP,,,
SOLIS CAPITAL ANTARES LIGHT FIC DE FIDC,,,
XP SPECIAL OPPORTUNITIES FIP MULTI - CLASSE A,,,
EB FUTURO SUSTENTÁVEL FIP MULTIESTRATÉGIA CLASSE 2,,,
XPEX11 - XP EXETER II DESENVOLVIMENTO LOG. - CLASSE A,,,
TGRI11 – TG RENDA IMOBILIÁRIA SÊNIOR A,,,
AQUA PE AGRO - TREND PE IX FIC RF SIMPLES RL,,,
EB FS FIP CLASSE 2 - TREND PE VII FIRF RL,,,
CPAC11 - CAPITÂNIA AGRO CRÉDITO,,,
TGRE11 - TG REAL ESTATE,,,
"NTN-B 760199 - AGO/2032 - TESOURO NACIONAL - AGO/2032 - IPC-A +6,43% - 15/08/2032",,,
"NTN-B 760199 - AGO/2050 - TESOURO NACIONAL - AGO/2050 - IPC-A +4,57% - 15/08/2050",,,
"NTN-B 760199 - AGO/2028 - TESOURO NACIONAL - AGO/2028 - IPC-A +6,48% - 15/08/2028",,,
"LF PRE LF002100B57 - LF BANCO BV S/A - AGO/2026 - 0,1045 - 03/08/2026",,,
"LF FLU LF0021007RJ - LF BANCO BV S/A - JUN/2027 - IPC-A +5,35% - 16/06/2027",,,
"CRA FLU CRA021000RY - CRA MINERVA - ABR/2031 - IPC-A +4,70% - 15/04/2031",CRA021000RY,"IPCA + 5,5780%",15/04/2031
"DEB FLU U ELPLB4 - DEB ENEL SP - MAI/2026 - IPC-A +6,65% - 15/05/2026",ELPLB4,"IPCA + 4,0134%",15/05/2026
"LF PRE LF002100GAL - LF DAYCOVAL - OUT/2026 - 0,119 - 06/10/2026",,,
"CDCA 24G02736844 - CDCA BTG - JUL/2034 - IPC-A +6,39% - 17/07/2034",,,
"LCA 25I03403054 - LCA BNDES - SET/2028 - 87,00% CDI - 15/09/2028",,,
ASA HEDGE CIC CI MULTIMERCADO CP RL,,,
"LCA 25F04369628 - LCA BANCO JOHN DEERE S.A. - JUN/2027 - 82,00% CDI - 23/06/2027",,,
SPX NIMITZ GRIPEN ADVISORY FIC FIM,,,
AZ QUEST SUPRA FIC FIF MULTIMERCADO CP,,,
OBY BANDEIRA FIM,,,
ROOT CAPITAL CRÉDITO HG PLUS FIC DE FIF MULTIMERCADO CP RL,,,
"LF PRE LF0021005FS - LF DAYCOVAL - JAN/2029 - 0,1055 - 02/01/2029",,,
M8 CREDIT OPPORTUNITIES FIC DE FI EM FIDC,,,
CAPITÂNIA RADAR 90 FIC DE FIF MULTIMERCADO CP LP RL,,,
NAVI RESIDENCIAL PRIME OPPORTUNITIES - CLASSE C - FII RESP L,,,
XP MACRO PLUS FIC FIM,,,
XP CDI 96 DEZEMBRO 2027 FII RL,,,
"CRA FLU CRA02300RS5 - CRA CAMIL - NOV/2028 - CDI +0,50% - 16/11/2028",CRA02300RS5,"DI + 0,6500%",16/11/2028
"LCA 25L02684265 - LCA BNDES - DEZ/2026 - 81,50% CDI - 15/12/2026",,,
"FND FLU 4733522S01 - FND CONSIGNADO INSS - JUL/2031 - CDI +2,30% - 15/07/2031",,,
"CRI 23C0247702 - CRI LOCALIZA - MAR/2030 - CDI +0,85% - 11/03/2030",23C0247702,"DI + 1,4000%",11/03/2030
"CRA FLU CRA021002N8 - CRA PIRACANJUBA - OUT/2026 - IPC-A +6,70% - 15/10/2026",CRA021002N8,"IPCA + 5,0653%",15/10/2026
"CRA FLU CRA02300CCI - CRA FS BIO - DEZ/2029 - IPC-A +7,60% - 17/12/2029",CRA02300CCI,"IPCA + 8,9000%",17/12/2029
"LCA 25L02684296 - LCA BNDES - DEZ/2026 - 81,50% CDI - 15/12/2026",,,
"DEB FLU U JHSFA1 - DEB JHSF - JAN/2027 - CDI +2,15% - 21/01/2027",JHSFA1,"DI + 2,7500%",21/01/2027
XPHF11 - XP HEDGE FUND,,,
IP PARTICIPAÇÕES IPG FIC FIF AÇÕES RL,,,
AZ QUEST DEBÊNTURES INCENTIVADAS CP FIC DE FIF INCENTIVADO DE INVESTIMENTO EM INFRA RF,,,
"NTN-B 760199 - AGO/2050 - TESOURO NACIONAL - AGO/2050 - IPC-A +7,14% - 15/08/2050",,,
"LCA 25L02684265 - LCA BNDES - DEZ/2026 - 82,00% CDI - 15/12/2026",,,
"CRA FLU CRA024004SC - CRA JBS - MAI/2044 - IPC-A +8,75% - 16/05/2044",CRA024004SC,"IPCA + 6,9947%",16/05/2044
"CRA FLU CRA022004S9 - CRA VAMOS - MAI/2037 - IPC-A +11,26% - 15/05/2037",CRA022004S9,"IPCA + 6,9739%",15/05/2037
"LCA 25I04075952 - LCA BNDES - SET/2028 - 82,00% CDI - 15/09/2028",,,
XPAG11 - XP CRÉDITO AGRO,,,
XP CREDIT OPPORTUNITIES FIDC - MODELO A,,,
ATENA YIELD D30 FIC DE FIF RF CP RL,,,
KJNT11 - KIJANI ASATALA FIAGRO,,,
AZ QUEST VALORE FIRF CP,,,
"CDB PRE DU CDB225A6F3H - CDB AGIBANK - AGO/2026 - 0,1495 - 19/08/2026",,,
PIER11 - PÁTRIA INFRA ENERGIA CORE RENDA FIP INFRA,,,
"CDB PRE DU CDB225AO101 - CDB BMG - FEV/2026 - 0,1481 - 26/02/2026",,,
"CDB PRE DU CDB225A5BJU - CDB FACTA FINANCEIRA - FEV/2026 - 0,149 - 25/02/2026",,,
"CRI 24E2535186 - CRI ALMARIAS - JUN/2029 - IPC-A +9,04% - 12/06/2029",24E2535186,N/A,N/A
"CRI 24D3691422 - CRI PERSA - JUL/2029 - IPC-A +8,92% - 31/07/2029",24D3691422,N/A,N/A
"DEB FLU U BRKMA6 - DEB BRASKEM - MAI/2029 - CDI +46,97% - 12/05/2029",BRKMA6,"DI + 1,7500%",12/05/2029
"LF PRE LF002100JBD - LF BANCO SAFRA S/A - OUT/2026 - 0,1335 - 29/10/2026",,,
VERDE AM SCENA ADVISORY FIC DE FIF MULTIMERCADO RL,,,
RIZA MEYENII 180 ADVISORY FIF DE COTAS DE FIM,,,
BRAVE 90 FIC FIDC,,,
TGRI – TG RENDA IMOBILIÁRIA FEEDER FII RL,,,
OCCAM RETORNO ABSOLUTO ADVISORY FIC FIF MULTI - RL,,,
SYSTEMATICA BLUE TREND ADVISORY FIC FIM IE,,,
SOLIS CAPITAL ANTARES ADVISORY FIC DE FIDC,,,
42794534000187 - ARCA GRÃO XP SEG PREV ADVISORY FIC FIM - VGBL,,,
"LCA 25J03111341 - LCA BNDES - OUT/2028 - 81,50% CDI - 16/10/2028",,,
"NTN-B 760199 - MAI/2027 - TESOURO NACIONAL - MAI/2027 - IPC-A +8,12% - 15/05/2027",,,
"LCA 25L02684263 - LCA BNDES - DEZ/2026 - 81,50% CDI - 15/12/2026",,,
"CRI 23F1519397 - CRI MOVIDA - JUN/2028 - IPC-A +11,47% - 16/06/2028",23F1519397,"IPCA + 7,0000%",16/06/2028
"CRI 22E1314836 - CRI SÃO CARLOS - SET/2029 - IPC-A +9,49% - 17/09/2029",22E1314836,"IPCA + 7,3826%",17/09/2029
"CDB FLU CDB72426UK9 - CDB WILL FINANCEIRA (MASTER) - JUL/2028 - 121,00% CDI - 03/07/2028",,,
"CDB PRE DU CDB425CS6H1 - CDB PINE - ABR/2026 - 0,156 - 30/04/2026",,,
"CRA FLU CRA02300MJ9 - CRA MINERVA - SET/2028 - CDI +0,82% - 15/09/2028",CRA02300MJ9,"DI + 1,5000%",15/09/2028
"FND FLU 4733522S01 - FND CONSIGNADO INSS - JUL/2031 - CDI +2,50% - 15/07/2031",,,
"CDB FLU CDB3219GR54 - CDB AGIBANK - AGO/2026 - IPC-A +6,00% - 04/08/2026",,,
"CDB PRE DU CDB125010XJ - CDB PICPAY - JAN/2028 - 0,1692 - 03/01/2028",,,
"DEB FLU U JHSFA3 - DEB JHSF - DEZ/2027 - CDI +1,09% - 20/12/2027",JHSFA3,"DI + 2,2000%",20/12/2027
"CDB FLU CDB8243BNIR - CDB BANCO DIGIMAIS S.A. - AGO/2028 - 120,00% CDI - 07/08/2028",,,
"CDB PRE DU CDB4257QI7V - CDB FACTA FINANCEIRA - ABR/2027 - 0,1535 - 15/04/2027",,,
"NTN-B 760199 - AGO/2026 - TESOURO NACIONAL - AGO/2026 - IPC-A +10,07% - 15/08/2026",,,
"LCA 25L02684296 - LCA BNDES - DEZ/2026 - 82,00% CDI - 15/12/2026",,,
